 783	0.01090	0.07514
 781	0.01092	0.07520
 59	0.44966	0.27249
 16	0.45294	0.27769
 32	10.20826	45.49917
 19	0.85107	0.13529
 56	0.44997	0.27426
 57	277.50414	205.50041
 50	30.58674	21.31119
 37	278.99190	206.26614
 53	0.02724	0.07591
 43	0.02781	0.07669
 20	0.76251	0.18810
 60	10.11918	45.31349
 62	0.02750	0.07632
 65	10.17828	45.42048
 114	278.32266	205.78432
 115	30.67182	21.33909
 83	30.70371	21.33506
 68	0.84511	0.14017
 12	0.76586	0.19310
 80	0.02706	0.07571
 85	0.02735	0.07543
 24	30.78755	21.41686
 27	279.32414	206.42314
 44	0.75915	0.18441
 21	0.45139	0.27633
 67	0.76254	0.18845
 23	0.76473	0.19335
 48	30.74813	21.39718
 47	10.19407	45.45681
 36	0.44519	0.27499
 45	0.84027	0.14408
 66	0.75747	0.18117
 29	0.44900	0.27630
 42	0.84914	0.13682
 40	10.13493	45.33204
 105	0.02716	0.07518
 82	0.84641	0.13906
 46	0.76310	0.19100
 81	278.60158	205.98649
 772	0.01086	0.07489
 771	0.01081	0.07465
 776	0.01090	0.07508
 777	0.01099	0.07551
 779	0.01096	0.07537
 18	0.02799	0.07716
 76	0.83724	0.14655
 77	0.44213	0.27392
 73	30.54326	21.26975
 70	30.69915	21.36314
 71	10.17433	45.41422
 90	277.13154	205.09540
 106	0.84460	0.14054
 94	278.67686	205.71384
 103	10.15327	45.40001
